"image","xmin","ymin","xmax","ymax","label"
"00003.jpg",190.41249231638642,607.8445621163505,413.35659898477155,1028.9417515345983,"fire"
"00004.jpg",295.8513182133579,324.7040145438058,541.7537396444659,447.97714285714284,"fire"
"00005.jpg",153.62428842504744,38.34865978785923,357.16129773481975,364.2629473549979,"fire"
"00002.jpg",282.1981968023838,343.6525779506138,581.3434959476829,684.7405583844866,"fire"
"00001.jpg",212.4907690207504,81.37142857142857,1044.1533655987562,750.6514596121651,"fire"
"00009.jpg",312.39081183900225,206.88686645507815,404.5329301874689,394.2445621163505,"fire"
"00007.jpg",143.20001220703125,12,636.800048828125,648.7999877929688,"fire"
"00006.jpg",475.3318639587795,46.62857927594866,1039.9571943589401,1080.6857561383927,"fire"
"00010.jpg",86.74286760602678,9.142857142857142,507.77141462053567,385.82857840401783,"fire"
"00008.jpg",322.7931911171727,9.758860699040893,971.7799750948766,700.376083605607,"fire"
"00013.jpg",143.88504593581663,59.41942687988281,215.76170884975784,130.81142857142856,"fire"
"00012.jpg",62.27375888644185,74.00914960588727,161.063929018767,206.1051473563058,"fire"
"00011.jpg",292.8273152128795,326.2372024087345,485.92031287061195,485.8936915229349,"fire"
"00015.jpg",84.26776856977223,28.652573024204802,260.9787951857418,165.01371747698104,"fire"
"00017.jpg",164.09487666034155,79.75776337924069,234.58291562277634,140.75136904085062,"fire"
"00018.jpg",12.554843061230677,39.90857142857143,77.55442156577263,140.12343872070312,"fire"
"00016.jpg",103.08906134543763,82.61142857142858,193.43126028662851,144.51771109444755,"fire"
"00019.jpg",112.38353685138057,115.95656973702566,152.98054576277477,149.65714285714284,"fire"
"00020.jpg",25.14286586216518,14.285714285714286,478.2856968470982,409.1428484235491,"fire"
"00022.jpg",111.49616729932372,33.47885798863002,163.18525329851235,110.85714285714286,"fire"
"00021.jpg",109.11742013375503,18.817142050606865,250.13658115501443,174.42857142857142,"fire"
"00024.jpg",100.35201171875,143.10400390625,145.15201171875,217.60000000000002,"fire"
"00023.jpg",46.85712007711862,7.9919994354248045,128.01132306979815,150.66400451660158,"fire"
"00025.jpg",2.775713173216615,98.49667741505374,159.89147069015357,183,"fire"
"00026.jpg",100.01100242658178,16.102854891940282,186.48387096774195,168.97973992516688,"fire"
"00027.jpg",261.84802292420244,13.068389388155346,324.4051233396584,133.16094945481987,"fire"
"00028.jpg",66.60000392368862,5.914286204746792,156.08572605678015,154.2857142857143,"fire"
"00029.jpg",387.18125453537266,133.71428571428572,498.43242393865285,397.9337224469866,"fire"
"00030.jpg",52.01671229103059,34.46857256208148,166.48414524122217,214.83429478236607,"fire"
"00031.jpg",95.35140918688175,121.51199680873327,156.83430211172356,162.29485395159043,"fire"
"00032.jpg",51.33372125356839,53.491426958356584,131.05694930036748,149.90286036900113,"fire"
"00033.jpg",95.78823209758953,59.959335163427525,155.70171736947046,121.11641830640801,"fire"
"00034.jpg",147.03472141794282,90.21430992126466,198.43207175093767,157.81431851704917,"fire"
"00035.jpg",93.88753724188858,72.5725730242048,159.76206195671747,162.29485395159043,"fire"
"00036.jpg",3.0170795361050162,1.00373142048464,138.7286597003973,164.33389830508474,"fire"
"00038.jpg",27.176507434917493,59.60571428571429,70.67460469873232,134.68800319126674,"fire"
"00039.jpg",128.30549902436402,3.735046012269939,166.62808731339686,153.00000000000003,"fire"
